Cast % (All)
 on 20007785 == -21
 on 20010239 == -21
 on 20005249 == -21
 on 20007264 == -21
 on 20008204 == -21
 on 20000204 == -21
 on 20000740 == -21
 on 20011266 == -21
 on 20010213 == -21
 on 20002790 == -21
 on 20005763 == -21
 on 20003243 == -21
 on 20017309 == -21
 on 20000281 == -21
 on 20009717 == -21
 on 20000285 == -21
 on 20012227 == -21
 on 20003200 == -21
 on 20004768 == -21
 on 20008255 == -21
 on 20015767 == -21
 on 20011277 == -21
 on 20002728 == -21
 on 20007242 == -21
 on 20017163 == -21
 on 20013232 == -21
 on 20007231 == -21
 on 20006743 == -21
 on 20008754 == -21
 on 20001759 == -21
 on 20014207 == -21
 on 20014751 == -21
 on 20013241 == -21
 on 20013793 == -21
 on 20006213 == -21
 on 20013242 == -21
 on 20001239 == -21
 on 20013733 == -21
 on 20013246 == -21
 on 20013281 == -21
 on 20001256 == -21
 on 20001772 == -21
 on 20006243 == -21
 on 20014742 == -21
 on 20017162 == -21
 on 20001734 == -21
 on 20009780 == -20
 combo 19480+313327 == -20
 combo 4263+15431 == -20
 on 20005288 == -20
 combo 15402+20947+22209 == -20
 combo 4246+15431 == -20
 on 20014756 == -20
 on 21050 == -20
 on 20010796 == -20
 combo 19481+313327 == -20
 combo 19475+313327 == -20
 combo 19484+313327 == -20
 combo 19483+313327 == -20
 combo 19478+313327 == -20
 on 20002722 == -20
 on 20005715 == -20
 on 550006 == -20
 on 550017 == -20
 combo 19474+313327 == -20
 on 20005728 == -20
 on 21054 == -20
 on 20008750 == -20
 on 20009209 == -20
 on 400177 == -20
 on 450426 == -20
 on 16099 == -20
 combo 19485+313327 == -20
 on 20008745 == -20
 combo 19479+313327 == -20
 on 20010721 == -20
 on 20006289 == -20
 on 20000756 == -20
 combo 15398+20947+22209 == -20
 combo 15348+19366+20923+22192 == -20
 on 20000722 == -20
 on 20008762 == -20
 combo 15397+20947+22209 == -20
 on 490145 == -20
 combo 20925+22036 == -20
 on 13346 == -20
 on 20002767 == -20
 on 480340 == -20
 on 19468 == -20
 on 20006239 == -20
 on 20009725 == -20
 on 20014254 == -20
 combo 15399+20947+22209 == -20
 combo 15400+20947+22209 == -20
 combo 15213+20858+22143 == -20
 combo 15213+20858+22143 == -20
 combo 490335+490437 == -20
 on 20006231 == -20
 on 20004284 == -20
 combo 15401+20947+22209 == -20
 on 19496 == -20
 on 20007763 == -20
 combo 19482+313327 == -20
 on 19497 == -20
 on 20006287 == -20
 on 20006236 == -20
 on 450427 == -20
 on 400672 == -20
 on 400787 == -20
 on 400624 == -20
 on 400203 == -20
 on 32110 == -20
 on 400644 == -20
 on 400645 == -20
 on 400649 == -20
 on 18190 == -20
 on 400667 == -20
 on 26162 == -20
 on 400688 == -20
 on 32026 == -20
 on 400711 == -20
 on 400087 == -20
 on 400722 == -20
 on 400742 == -20
 on 400602 == -20
 on 400601 == -20
 on 400556 == -20
 on 1181 == -20
 on 1867 == -20
 combo 22234+28615 == -20
 on 400060 == -20
 on 20012725 == -20
 combo 470031+4879 == -20
 on 400048 == -20
 on 400396 == -20
 on 400551 == -20
 on 400420 == -20
 on 400437 == -20
 on 400213 == -20
 on 32352 == -20
 on 32303 == -20
 on 20013205 == -20
 on 400766 == -20
 on 400721 == -20
 on 20015287 == -20
 on 20003205 == -20
 on 20013291 == -20
 on 20007218 == -20
 on 400187 == -20
 on 20012201 == -20
 on 28140 == -20
 combo 19477+313327 == -20
 combo 400047+310125 == -20
 on 450176 == -20
 on 20004252 == -20
 on 28045 == -20
 on 26215 == -20
 on 20011729 == -20
 combo 19488+313327 == -20
 combo 20935+22199+15378 == -20
 on 20005777 == -20
 on 20000292 == -20
 on 2058 == -20
 combo 19491+313327 == -20
 on 28772 == -20
 combo 19476+313327 == -20
 on 28771 == -20
 on 20007254 == -20
 on 28595 == -20
 on 28635 == -20
 on 28595 == -20
 on 490211 == -2*getskilllv("wm_reverberation")
 on 15405 == -2*getskilllv("rk_dragonbreath_water")
 on 22071 == -2*getrefine()
 on 19379 == -2*.@r
 on 400566 == -2*.@r
 on 530028 == -2*.@r
 on 470086 == -2*(getskilllv("wl_freeze_sp")/3)
 on 313419 == -2*(.@r/4)
 on 313416 == -2*(.@r/4)
 combo 400465+490383 == -2*(.@r/4)
 combo 490100+400023 == -2*(.@r/4)
 combo 400465+490382 == -2*(.@r/4)
 combo 28483+400486 == -2*(.@r/4)
 combo 490101+400023 == -2*(.@r/4)
 on 312700 == -2*(.@r/3)
 on 312718 == -2*(.@r/3)
 on 470289 == -2*(.@r/3)
 on 480192 == -2*(.@r/3)
 on 470283 == -2*(.@r/3)
 on 470329 == -2*(.@r/3)
 on 460096 == -2*(.@r/3)
 on 610034 == -2*(.@r/3)
 on 19452 == -2*(.@b/18)
 on 19451 == -2*(.@b/18)
 on 20008541 == -2
 on 20001500 == -2
 on 20002510 == -2
 on 20008536 == -2
 on 20009042 == -2
 on 20002533 == -2
 on 20002536 == -2
 on 20002514 == -2
 on 20004582 == -2
 on 20006554 == -2
 on 313832 == -2
 on 20003549 == -2
 on 20006511 == -2
 on 15162 == -2
 on 312306 == -2
 on 5569 == -2
 on 5549 == -2
 on 313082 == -2
 on 313082 == -2
 on 313262 == -2
 on 2933 == -2
 on 313832 == -2
 on 313832 == -2
 on 313832 == -2
 on 19427 == -2
 on 313832 == -2
 on 20015066 == -2
 on 20006061 == -2
 on 20006018 == -2
 on 20016348 == -2
 on 20005524 == -2
 on 20015565 == -2
 on 20004520 == -2
 on 20016023 == -2
 on 20016061 == -2
 on 20004534 == -2
 on 20016190 == -2
 on 18950 == -2
 on 20006573 == -2
 on 300456 == -2
 on 20003500 == -2
 on 20007599 == -2
 on 20007569 == -2
 on 20007557 == -2
 combo 29053+29054+29055 == -2
 on 20013014 == -2
 on 20016224 == -2
 on 24768 == -2
 on 4948 == -2
 on 20013570 == -2
 on 20009537 == -2
 on 20007039 == -2
 on 300169 == -2
 on 300456 == -2
 on 20008031 == -2
 on 20017462 == -19
 on 20011732 == -19
 on 20017417 == -19
 on 20017473 == -19
 on 20010775 == -19
 on 20010781 == -19
 on 20011202 == -19
 on 20015296 == -19
 on 20012707 == -19
 on 20011786 == -19
 on 20015236 == -19
 on 20014251 == -19
 on 20012729 == -19
 on 20012797 == -19
 on 20017092 == -19
 on 20017308 == -19
 on 20017172 == -19
 on 20009295 == -19
 on 20017448 == -19
 on 20010785 == -19
 on 20005238 == -19
 on 20006732 == -19
 on 20003793 == -19
 on 20004206 == -19
 on 20004208 == -19
 on 20004226 == -19
 on 20003277 == -19
 on 20004740 == -19
 on 20008280 == -19
 on 20000244 == -19
 on 20006202 == -19
 on 20002729 == -19
 on 20002724 == -19
 on 20007793 == -19
 on 20007731 == -19
 on 20002213 == -19
 on 20006766 == -19
 on 20007748 == -19
 on 20007285 == -19
 on 20006793 == -19
 on 20004749 == -18
 on 20013274 == -18
 on 20004264 == -18
 on 20007295 == -18
 on 20004215 == -18
 on 20014200 == -18
 on 20015798 == -18
 on 20017024 == -18
 on 20011798 == -18
 on 20003788 == -18
 on 20017110 == -18
 on 20017127 == -18
 on 20017172 == -18
 on 20009796 == -18
 on 20015792 == -18
 on 20000711 == -18
 on 20014240 == -18
 on 20004784 == -18
 on 20015717 == -18
 on 20005718 == -18
 on 20000289 == -18
 on 20013279 == -18
 on 20001209 == -18
 on 20000230 == -18
 on 20010214 == -18
 on 20010218 == -18
 on 20015266 == -18
 on 20006773 == -18
 on 20014768 == -18
 on 20014732 == -18
 on 20009286 == -18
 on 20003283 == -18
 on 20009218 == -18
 on 20003259 == -18
 on 20008289 == -18
 on 20017429 == -18
 on 20008273 == -18
 on 20017475 == -18
 on 20002289 == -18
 on 20003237 == -18
 on 20001795 == -18
 on 20017344 == -18
 on 20017289 == -18
 on 20017293 == -17
 on 20005704 == -17
 on 20001240 == -17
 on 20000255 == -17
 on 20000257 == -17
 on 20017053 == -17
 on 20000281 == -17
 on 20008234 == -17
 on 20005258 == -17
 on 20004222 == -17
 on 20015727 == -17
 on 20001288 == -17
 on 20008270 == -17
 on 20008790 == -17
 on 20009798 == -17
 on 20008254 == -17
 on 20001206 == -17
 on 20008757 == -17
 on 20010207 == -17
 on 20001733 == -17
 on 20011700 == -17
 on 20011728 == -17
 on 20012226 == -17
 on 20007293 == -17
 on 20007256 == -17
 on 20012769 == -17
 on 20012795 == -17
 on 20010756 == -17
 on 20013287 == -17
 on 20013746 == -17
 on 20009722 == -17
 on 20013754 == -17
 on 20006773 == -17
 on 20017467 == -17
 on 20014208 == -17
 on 20014209 == -17
 on 20014276 == -17
 on 20007779 == -17
 on 20017269 == -17
 on 20010226 == -17
 on 20017093 == -17
 on 20002732 == -17
 on 20017179 == -17
 on 20017144 == -17
 on 20009705 == -17
 on 20017210 == -17
 on 20017094 == -17
 on 20010756 == -16
 on 20012773 == -16
 on 20001214 == -16
 on 20009297 == -16
 on 20007785 == -16
 on 20010203 == -16
 on 20012730 == -16
 on 20001214 == -16
 on 20009218 == -16
 on 20003783 == -16
 on 20005750 == -16
 on 20004798 == -16
 on 20015773 == -16
 on 20009259 == -16
 on 20006292 == -16
 on 20000796 == -16
 on 20006210 == -16
 on 20017201 == -16
 on 20010737 == -16
 on 20013244 == -16
 on 20014731 == -16
 on 20014291 == -16
 on 20014286 == -16
 on 20017207 == -16
 on 20014234 == -16
 on 20017226 == -16
 on 20017436 == -16
 on 20017251 == -16
 on 20017265 == -16
 on 20013764 == -16
 combo 490222+490377 == -16
 on 20010780 == -16
 on 20002246 == -16
 on 20008207 == -16
 on 20004764 == -16
 on 20009765 == -16
 on 20004700 == -16
 on 20004715 == -16
 on 20003218 == -16
 on 20017077 == -16
 on 480251 == -15*.@c
 on 450337 == -15
 combo 510001+450001+470000+480000+490004 == -15
 on 800008 == -15
 combo 24594+24584+24585+24586+24587+24588 == -15
 on 700060 == -15
 on 450217 == -15
 combo 560000+450004+470003+480003+490007 == -15
 on 560038 == -15
 on 450386 == -15
 on 32013 == -15
 on 400023 == -15
 on 20011743 == -15
 on 650029 == -15
 on 20011745 == -15
 combo 24595+24584+24585+24586+24587+24588 == -15
 on 450387 == -15
 on 20011787 == -15
 on 450293 == -15
 on 800016 == -15
 on 28588 == -15
 on 450297 == -15
 on 450336 == -15
 on 450309 == -15
 on 450298 == -15
 on 20013703 == -15
 combo 24593+24584+24585+24586+24587+24588 == -15
 combo 24592+24584+24585+24586+24587+24588 == -15
 on 20001749 == -15
 on 450296 == -15
 on 28585 == -15
 on 450295 == -15
 on 450294 == -15
 on 28552 == -15
 on 20013275 == -15
 combo 24591+24584+24585+24586+24587+24588 == -15
 on 400114 == -15
 on 28582 == -15
 on 400113 == -15
 on 20012231 == -15
 on 570033 == -15
 on 400646 == -15
 on 400699 == -15
 on 20002215 == -15
 on 600031 == -15
 on 410066 == -15
 on 410067 == -15
 on 410088 == -15
 combo 600001+450004+470003+480003+490007 == -15
 on 410089 == -15
 on 20012286 == -15
 on 590049 == -15
 on 410129 == -15
 on 410130 == -15
 on 590044 == -15
 on 410185 == -15
 combo 28431+2744+2387+2440 == -15
 on 410186 == -15
 on 20012236 == -15
 combo 610000+450004+470003+480003+490007 == -15
 on 20007287 == -15
 combo 24589+24584+24585+24586+24587+24588 == -15
 on 400597 == -15
 on 20011793 == -15
 on 640035 == -15
 on 400203 == -15
 combo 700001+450004+470003+480003+490007 == -15
 combo 2051+20847 == -15
 on 420389 == -15
 on 620020 == -15
 on 620018 == -15
 on 400465 == -15
 on 580034 == -15
 on 400486 == -15
 on 20007272 == -15
 on 610042 == -15
 on 420164 == -15
 on 610039 == -15
 combo 24598+24584+24585+24586+24587+24588 == -15
 on 20002220 == -15
 on 640038 == -15
 combo 620010+450146 == -15
 combo 24599+24584+24585+24586+24587+24588 == -15
 on 20004265 == -15
 combo 24693+24694+24695+24696+24697+24708 == -15
 combo 24693+24694+24695+24696+24697+24707 == -15
 on 20000719 == -15
 combo 490391+620004 == -15
 combo 24693+24694+24695+24696+24697+24706 == -15
 on 20017347 == -15
 on 20003214 == -15
 on 20004774 == -15
 on 20004775 == -15
 combo 24693+24694+24695+24696+24697+24705 == -15
 on 20015765 == -15
 combo 4148+410254 == -15
 on 20015763 == -15
 combo 24693+24694+24695+24696+24697+24704 == -15
 on 20017390 == -15
 combo 29605+470271 == -15
 combo 29603+470273 == -15
 on 20005230 == -15
 on 450389 == -15
 on 20004729 == -15
 combo 24693+24694+24695+24696+24697+24709 == -15
 on 20006772 == -15
 combo 24693+24694+24695+24696+24697+24710 == -15
 on 20001222 == -15
 combo 490076+29509 == -15
 combo 24739+24584+24585+24586+24587+24588 == -15
 combo 24740+24584+24585+24586+24587+24588 == -15
 combo 24741+24584+24585+24586+24587+24588 == -15
 combo 24742+24584+24585+24586+24587+24588 == -15
 combo 24744+24584+24585+24586+24587+24588 == -15
 combo 400135+530012 == -15
 combo 480124+400002 == -15
 combo 480125+400002 == -15
 combo 400151+610019 == -15
 combo 24693+24694+24695+24696+24697+24715 == -15
 combo 400264+700056 == -15
 combo 480197+400002 == -15
 combo 24693+24694+24695+24696+24697+24714 == -15
 combo 24693+24694+24695+24696+24697+24713 == -15
 combo 510105+510106 == -15
 combo 24693+24694+24695+24696+24697+24712 == -15
 combo 24693+24694+24695+24696+24697+24711 == -15
 combo 24693+24694+24695+24696+24697+24703 == -15
 combo 24693+24694+24695+24696+24697+24702 == -15
 combo 24693+24694+24695+24696+24697+24701 == -15
 on 20005786 == -15
 on 1635 == -15
 on 2049 == -15
 combo 15388+15389 == -15
 on 20006269 == -15
 on 311458 == -15
 combo 15195+16063 == -15
 on 20006272 == -15
 on 311453 == -15
 on 15480 == -15
 on 15481 == -15
 on 15482 == -15
 on 15483 == -15
 on 15892 == -15
 on 20014261 == -15
 on 19199 == -15
 on 19205 == -15
 combo 15981+27425 == -15
 on 300225 == -15
 on 29373 == -15
 combo 400614+550149 == -15
 combo 29549+490578 == -15
 combo 22044+420324 == -15
 combo 18980+490608 == -15
 on 20017390 == -15
 combo 24693+24694+24695+24696+24697+24700 == -15
 combo 24693+24694+24695+24696+24697+24698 == -15
 on 20003764 == -15
 on 20017404 == -15
 on 20015294 == -15
 on 20000209 == -15
 combo 18978+490608 == -15
 combo 18984+490609 == -15
 combo 410339+420343 == -15
 on 20002736 == -15
 on 20017148 == -15
 combo 18972+490610 == -15
 on 20000206 == -15
 combo 29674+490601 == -15
 on 20015208 == -15
 combo 2055+470318 == -15
 combo 27425+420391 == -15
 on 450388 == -15
 on 490413 == -15
 on 450390 == -15
 on 20010276 == -15
 on 490367 == -15
 on 470312 == -15
 on 470306 == -15
 on 470292 == -15
 on 470278 == -15
 on 470254 == -15
 on 490427 == -15
 on 470243 == -15
 on 490380 == -15
 on 490381 == -15
 on 510077 == -15
 on 470083 == -15
 on 470083 == -15
 on 470082 == -15
 on 490414 == -15
 on 470082 == -15
 on 530035 == -15
 on 540058 == -15
 on 460084 == -15
 on 450391 == -15
 on 500056 == -15
 on 550075 == -15
 on 490458 == -15
 on 20008743 == -15
 on 490459 == -15
 on 490460 == -15
 on 490461 == -15
 on 20008266 == -15
 on 20008253 == -15
 on 490110 == -15
 on 20009226 == -15
 on 20009227 == -15
 on 490605 == -15
 on 480540 == -15
 on 480539 == -15
 on 480520 == -15
 on 480504 == -15
 on 480479 == -15
 on 480471 == -15
 on 480391 == -15
 on 480390 == -15
 on 490337 == -15
 on 550031 == -15
 on 20008710 == -15
 on 450416 == -15
 on 550091 == -15
 on 550092 == -15
 on 20011247 == -15
 on 20002205 == -14
 on 20013733 == -14
 on 20014741 == -14
 on 20006765 == -14
 on 20009252 == -14
 on 20006702 == -14
 on 20009256 == -14
 on 20009295 == -14
 on 20015749 == -14
 on 20012789 == -14
 on 20013725 == -14
 on 20006291 == -14
 on 20017462 == -14
 on 20013297 == -14
 on 20009221 == -14
 on 20009740 == -14
 on 20007781 == -14
 on 20017279 == -14
 on 20005221 == -14
 on 20008713 == -14
 on 20015200 == -14
 on 20013230 == -14
 on 20006252 == -14
 on 20003288 == -14
 on 20013273 == -14
 on 20017365 == -14
 on 20013250 == -14
 on 20001738 == -13
 on 20012245 == -13
 on 20006294 == -13
 on 20004205 == -13
 on 20013795 == -13
 on 20015285 == -13
 on 20007764 == -13
 on 20009788 == -13
 on 20007770 == -13
 on 20002708 == -13
 on 20017064 == -13
 on 20001715 == -13
 on 20015751 == -13
 on 20005281 == -13
 on 20000294 == -13
 on 20000246 == -13
 on 20015237 == -13
 on 20010233 == -13
 on 20017062 == -13
 on 20001782 == -13
 on 20001216 == -13
 on 20008234 == -13
 on 20013287 == -13
 on 20007232 == -13
 on 20012766 == -13
 on 20017162 == -13
 on 20017142 == -13
 on 20003707 == -13
 on 20017283 == -13
 on 20011728 == -13
 on 20012201 == -13
 on 20006789 == -13
 on 20008276 == -13
 on 20009734 == -13
 on 20009715 == -13
 on 20010733 == -13
 on 20003789 == -13
 on 20008241 == -13
 on 20010261 == -12
 on 20006267 == -12
 on 20006129 == -12
 on 20015186 == -12
 on 20015162 == -12
 on 20015152 == -12
 on 20015283 == -12
 on 20010157 == -12
 on 20010723 == -12
 on 20006145 == -12
 on 20010150 == -12
 on 20007191 == -12
 on 20011657 == -12
 on 20014612 == -12
 on 20010635 == -12
 on 20010610 == -12
 on 19366 == -12
 on 20006629 == -12
 on 20006779 == -12
 on 18198 == -12
 on 20013679 == -12
 on 20011602 == -12
 on 20007205 == -12
 on 20011657 == -12
 on 510028 == -12
 on 20010607 == -12
 on 20008623 == -12
 on 20002195 == -12
 on 311457 == -12
 on 20001710 == -12
 on 311452 == -12
 on 20005161 == -12
 combo 313350+490584 == -12
 on 480276 == -12
 on 20016500 == -12
 on 20016588 == -12
 on 20016783 == -12
 on 610016 == -12
 on 20016987 == -12
 on 20007684 == -12
 combo 400154+420066 == -12
 on 20007673 == -12
 on 20012221 == -12
 on 480439 == -12
 on 480440 == -12
 on 480446 == -12
 on 20009673 == -12
 on 20009619 == -12
 on 20003687 == -12
 on 480526 == -12
 on 20011297 == -12
 on 20001140 == -12
 on 20007609 == -12
 on 20009224 == -12
 on 20011264 == -12
 on 450385 == -12
 on 20002712 == -12
 on 20004701 == -12
 on 20016913 == -12
 on 20013123 == -12
 on 20002618 == -12
 on 610009 == -12
 on 480242 == -12
 on 20005106 == -12
 on 20015607 == -12
 on 480154 == -12
 combo 4877+490404 == -12
 on 20013111 == -12
 on 20015771 == -12
 on 20005167 == -12
 on 480088 == -12
 on 20000780 == -12
 on 20002634 == -12
 on 20010148 == -12
 on 20000716 == -12
 on 20000694 == -12
 on 20001186 == -11
 on 20015191 == -11
 on 20015190 == -11
 on 20008153 == -11
 on 20000120 == -11
 on 20005659 == -11
 on 20001134 == -11
 on 20003139 == -11
 on 20007120 == -11
 on 20005196 == -11
 on 20009106 == -11
 on 20014641 == -11
 on 20009666 == -11
 on 20013667 == -11
 on 20015159 == -11
 on 20015100 == -11
 on 20004156 == -11
 on 20004172 == -11
 on 20004181 == -11
 on 20014197 == -11
 on 20016976 == -11
 on 20006669 == -11
 on 20006646 == -11
 on 20000676 == -11
 on 20016698 == -11
 on 20016539 == -11
 on 20016518 == -11
 on 20015604 == -11
 on 20001642 == -11
 on 20012638 == -11
 on 20012637 == -11
 on 20011139 == -11
 on 20012130 == -11
 on 20012116 == -11
 on 20012646 == -11
 combo 1668+15089 == -10-min(.@r กับ 10)
 on 311020 == -10-2*getenchantgrade()
 on 20015933 == -100
 on 20001979 == -100
 on 20002488 == -100
 on 20014415 == -100
 on 310012 == -100
 combo 310012+310655 == -100
 on 20018041 == -100
 on 20000933 == -100
 on 29174 == -100
 on 20018029 == -100
 on 2904 == -100
 on 20018484 == -100
 on 20013473 == -100
 on 20009930 == -100
 on 19347 == -100
 on 20018189 == -100
 on 20009465 == -100
 on 450209 == -10*getskilllv("nc_pilebunker")
 combo 15128+20773 == -10 - (baselevel > 129 ? 10 : 0)
 on 490676 == -10
 on 490606 == -10
 combo 4635+410275 == -10
 combo 18174+420251 == -10
 on 470024 == -10
 combo 470018+480016+490017+450057 == -10
 on 401058 == -10
 combo 490486+480352 == -10
 combo 490485+480351 == -10
 combo 550141+470265 == -10
 on 530054 == -10
 on 20015600 == -10
 combo 510152+510153 == -10
 on 450010 == -10
 combo 4916+420236 == -10
 combo 580000+450002+470001+480001+490005 == -10
 on 400710 == -10
 on 490673 == -10
 on 490672 == -10
 combo 570000+450002+470001+480001+490005 == -10
 on 470025 == -10
 combo 28510+420315 == -10
 on 490041 == -10
 combo 2374+410305 == -10
 on 20005104 == -10
 combo 15213+20858+22143 == -10
 on 490607 == -10
 combo 400134+530012 == -10
 on 490677 == -10
 combo 400486+480342 == -10
 on 490675 == -10
 combo 28483+480342 == -10
 on 490028 == -10
 combo 450299+470183+480312 == -10
 combo 28510+420238 == -10
 on 500004 == -10
 on 500014 == -10
 on 600008 == -10
 on 600017 == -10
 combo 29595+400098+470268 == -10
 on 600004 == -10
 on 480174 == -10
 on 490608 == -10
 on 20011131 == -10
 combo 28387+29124+480332 == -10
 combo 640000+450003+470002+480002+490006 == -10
 on 480674 == -10
 on 600018 == -10
 on 490674 == -10
 on 20015694 == -10
 on 600024 == -10
 on 480148 == -10
 on 450205 == -10
 on 480147 == -10
 on 20008123 == -10
 on 500037 == -10
 on 610020 == -10
 on 560025 == -10
 on 500040 == -10
 on 610021 == -10
 on 480003 == -10
 on 610022 == -10
 on 610023 == -10
 combo 29677+490604 == -10
 on 450130 == -10
 on 480002 == -10
 combo 450421+480510 == -10
 combo 480511+470314 == -10
 on 470026 == -10
 combo 29596+400121+470273 == -10
 on 610026 == -10
 on 480001 == -10
 on 480000 == -10
 on 450285 == -10
 combo 410235+420194 == -10
 on 610027 == -10
 combo 13093+400647 == -10
 combo 28000+400647 == -10
 on 450284 == -10
 combo 28422+490582 == -10
 on 500062 == -10
 on 470026 == -10
 on 1150 == -10
 on 450129 == -10
 on 400651 == -10
 on 470025 == -10
 on 610019 == -10
 on 400697 == -10
 combo 550002+450004+470003+480003+490007 == -10
 on 400696 == -10
 on 480146 == -10
 on 480145 == -10
 combo 580075+400540 == -10
 combo 490622+490623 == -10
 on 610013 == -10
 combo 530000+450003+470002+480002+490006 == -10
 on 700016 == -10
 combo 520000+450004+470003+480003+490007 == -10
 on 20005646 == -10
 on 400680 == -10
 on 400680 == -10
 on 480115 == -10
 combo 520000+450001+470000+480000+490004 == -10
 on 490605 == -10
 on 400680 == -10
 on 550106 == -10
 on 20010103 == -10
 on 20010129 == -10
 on 500016 == -10
 on 400679 == -10
 on 400679 == -10
 on 480064 == -10
 on 400679 == -10
 on 450015 == -10
 on 20000642 == -10
 on 410014 == -10
 combo 22119+28518 == -10
 on 480349 == -10
 combo 300192+300193 == -10
 combo 310918+310912 == -10
 on 550098 == -10
 on 540094 == -10
 on 480372 == -10
 on 480359 == -10
 on 480358 == -10
 on 480352 == -10
 on 480351 == -10
 on 480350 == -10
 combo 400150+610019 == -10
 on 590010 == -10
 on 20004113 == -10
 on 480348 == -10
 combo 420019+15353+20964 == -10
 on 20004129 == -10
 on 410333 == -10
 on 410332 == -10
 on 480347 == -10
 on 410314 == -10
 combo 470018+480016+490017+450072 == -10
 on 410313 == -10
 on 480346 == -10
 combo 420021+15347+20965 == -10
 on 590022 == -10
 on 480345 == -10
 on 490661 == -10
 on 480338 == -10
 combo 400048+4803 == -10
 on 490609 == -10
 on 590009 == -10
 on 490660 == -10
 on 20003690 == -10
 on 580004 == -10
 on 490642 == -10
 on 490643 == -10
 combo 18720+1622 == -10
 combo 19495+2374 == -10
 on 490644 == -10
 on 490645 == -10
 on 20009612 == -10
 on 20012154 == -10
 on 580016 == -10
 on 20007619 == -10
 on 20007646 == -10
 on 460066 == -10
 on 580036 == -10
 on 20002690 == -10
 on 420180 == -10
 on 20003679 == -10
 on 480427 == -10
 on 480426 == -10
 on 480425 == -10
 on 580062 == -10
 on 590008 == -10
 on 490658 == -10
 combo 550031+450144 == -10
 combo 550031+450144 == -10
 on 490659 == -10
 combo 27062+29724 == -10
 on 480331 == -10
 on 401059 == -10
 on 490668 == -10
 on 480670 == -10
 combo 19185+490016 == -10
 on 480671 == -10
 on 480292 == -10
 on 20004643 == -10
 on 20004649 == -10
 on 480291 == -10
 on 480672 == -10
 on 470008 == -10
 on 480284 == -10
 on 480283 == -10
 on 470008 == -10
 on 470009 == -10
 on 470009 == -10
 on 490665 == -10
 on 590112 == -10
 on 410015 == -10
 combo 15079+20719+22024 == -10
 on 480233 == -10
 on 480232 == -10
 on 480673 == -10
 on 480231 == -10
 on 490670 == -10
 on 610028 == -10
 on 480230 == -10
 on 401115 == -10
 on 490671 == -10
 combo 2374+15476 == -10
 on 480669 == -10
 on 490667 == -10
 on 570063 == -10
 on 450406 == -10
 on 450234 == -10
 on 590024 == -10
 on 20016918 == -10
 on 590028 == -10
 on 590029 == -10
 on 20016754 == -10
 on 20016747 == -10
 on 460095 == -10
 on 540055 == -10
 on 460097 == -10
 combo 400120+28767 == -10
 on 530058 == -10
 on 590080 == -10
 combo 22257+19198 == -10
 combo 400078+21052 == -10
 on 20001112 == -10
 on 490666 == -10
 combo 450140+480050+470045 == -10
 on 530057 == -10
 combo 470018+480016+490017+450070 == -10
 on 450417 == -10
 combo 470018+480016+490017+450068 == -10
 on 20002635 == -10
 combo 470018+480016+490017+450064 == -10
 on 550097 == -10
 combo 470018+480016+490017+450062 == -10
 on 450407 == -10
 on 20006142 == -10
 on 400550 == -10
 on 530014 == -10
 on 400177 == -10
 on 20010645 == -10
 on 20010649 == -10
 combo 15073+480206 == -10
 on 400203 == -10
 on 470084 == -10
 on 20010692 == -10
 on 400187 == -10
 on 510072 == -10
 on 21058 == -10
 on 470084 == -10
 on 21066 == -10
 on 25940 == -10
 on 22119 == -10
 on 450202 == -10
 on 470268 == -10
 on 20013608 == -10
 combo 470021+480019+490020+450089 == -10
 combo 470021+480019+490020+450089 == -10
 on 470085 == -10
 combo 470020+480018+490019+450106 == -10
 on 22227 == -10
 combo 470020+480018+490019+450106 == -10
 on 470085 == -10
 combo 470020+480018+490019+450104 == -10
 combo 470020+480018+490019+450104 == -10
 combo 470020+480018+490019+450102 == -10
 combo 470020+480018+490019+450102 == -10
 combo 470020+480018+490019+450098 == -10
 on 640017 == -10
 on 450405 == -10
 on 450201 == -10
 on 20931 == -10
 combo 18652+32227 == -10
 on 620040 == -10
 on 620043 == -10
 on 19426 == -10
 on 470267 == -10
 on 470264 == -10
 on 490610 == -10
 on 470263 == -10
 on 470259 == -10
 on 300314 == -10
 on 450200 == -10
 on 470258 == -10
 combo 400724+480496 == -10
 on 470256 == -10
 on 630027 == -10
 on 20014101 == -10
 on 630045 == -10
 on 470255 == -10
 on 550143 == -10
 on 550148 == -10
 on 560006 == -10
 on 20733 == -10
 on 20733 == -10
 on 550088 == -10
 on 450245 == -10
 on 640006 == -10
 on 640010 == -10
 on 520012 == -10
 on 510199 == -10
 combo 470020+480018+490019+450098 == -10
 on 400060 == -10
 on 830026 == -10
 on 830025 == -10
 on 470130 == -10
 on 800013 == -10
 on 470130 == -10
 on 800006 == -10
 on 800002 == -10
 on 700046 == -10
 on 700045 == -10
 on 700043 == -10
 on 470106 == -10
 on 700041 == -10
 on 700035 == -10
 combo 470020+480018+490019+450091 == -10
 on 470106 == -10
 combo 470020+480018+490019+450091 == -10
 on 700033 == -10
 on 32031 == -10
 on 700032 == -10
 on 32117 == -10
 on 700030 == -10
 on 32261 == -10
 on 700008 == -10
 on 700010 == -10
 combo 470020+480018+490019+450090 == -10
 combo 470020+480018+490019+450090 == -10
 on 700018 == -10
 on 28587 == -10
 on 510150 == -10
 on 470105 == -10
 on 28584 == -10
 on 20007135 == -10
